,ID,etmiss,mtw,leadleptPt,leadleptEta,leadleptE,leadleptPhi,Q_leadlep,leadleptID,n_TopLRjets,leadTopLRjet_pt,leadTopLRjet_eta,leadTopLRjet_phi,leadTopLRjet_m,leadTopLRjet_Tau32,n_jets,leadjet_pt,leadjet_eta,n_bjets,leadbjet_pt,leadbjet_eta,ttbarMLR,largeRjet_pt_total,largeRjet_eta_total,largeRjet_phi_total,largeRjet_m_total,largeRjet_tau32_total,weight,scale,label
3088,signal,188.823,85.6004,113.697,0.951534,169.171,-0.946077,1,11,1,469.908,0.476191,1.71981,129.657,0.66162,2,114.818,1.69012,2,379.527,0.591639,746.634,469.908,0.476191,1.71981,129.657,0.66162,0.879389,0.0567221,1
3089,signal,125.577,67.9571,68.4513,-1.34181,139.892,3.08674,1,11,1,383.77,-0.763359,0.204282,143.462,0.243879,1,250.607,-1.80709,1,246.637,-0.75836,0.0,702.958,-2.50002,-2.64723,242.54,0.997293,1.05058,0.0567221,1
3090,signal,180.166,80.9458,97.7982,-0.469534,108.778,-1.92837,1,13,1,460.193,-0.250266,0.594832,159.856,0.0920107,2,179.716,-0.506605,2,179.716,-0.506605,741.188,460.193,-0.250266,0.594832,159.856,0.0920107,0.905215,0.0567221,1
3091,signal,343.004,0.176293,129.353,-0.559219,150.111,0.0333458,1,13,1,433.494,-0.785817,-3.02128,132.71,0.681701,1,39.966,-1.18142,1,39.966,-1.18142,551.754,433.494,-0.785817,-3.02128,132.71,0.681701,0.932236,0.0567221,1
3092,signal,161.718,47.2926,151.731,-0.804713,203.567,-2.64003,-1,11,1,378.429,0.230771,0.324292,152.84,0.199227,1,142.255,-0.783243,2,225.521,-0.128913,786.176,680.328,-0.532424,-2.50257,220.355,0.751418,1.02618,0.0567221,1
3093,signal,65.8973,46.0377,134.068,0.301759,140.218,-2.51404,-1,11,1,342.186,-0.259442,0.529085,144.28,0.218304,1,120.15,0.481117,2,120.15,0.481117,649.067,602.477,0.162219,-2.19886,218.758,0.874493,1.10594,0.0567221,1
3094,signal,38.8767,88.6036,163.81,-1.53296,397.053,2.1845,-1,11,1,382.71,-1.58508,-0.899089,167.277,0.410039,2,161.967,-0.948548,1,161.967,-0.948548,755.907,765.773,-3.01426,1.41616,384.719,0.82648,1.7981,0.0567221,1
3095,signal,261.824,6.88976,75.6122,-0.24034,77.8066,2.50442,1,11,1,442.847,-1.26809,-0.785322,163.699,0.477813,2,120.715,-0.608779,2,120.715,-0.608779,666.705,442.847,-1.26809,-0.785322,163.699,0.477813,0.602906,0.0567221,1
3096,signal,116.425,64.5837,335.35,-1.18163,598.008,2.76396,-1,11,1,484.5,-1.0482,-0.223158,119.777,0.734091,1,90.6748,-1.24077,1,371.152,-0.942409,0.0,894.927,-2.27354,2.6349,253.134,1.20045,1.59932,0.0567221,1
3097,signal,62.1833,47.6144,216.331,1.79443,668.712,2.81735,1,11,1,355.943,0.957393,-0.266017,163.314,0.676609,1,146.159,1.58816,1,170.876,0.442529,0.0,733.149,2.70349,2.29561,284.972,0.931036,1.50609,0.0567221,1
3098,signal,137.358,38.1626,49.9149,0.458681,55.2584,1.63673,1,13,1,341.111,0.889432,-1.15126,135.151,0.684803,1,103.375,-0.124173,1,103.375,-0.124173,522.516,341.111,0.889432,-1.15126,135.151,0.684803,0.669331,0.0567221,1
3099,signal,254.477,33.6871,148.131,0.910233,213.851,1.14405,1,11,1,405.049,1.68363,-2.05,151.615,0.382407,1,54.3973,1.3157,3,226.19,1.63327,622.421,405.049,1.68363,-2.05,151.615,0.382407,1.78596,0.0567221,1
3100,signal,162.625,2.89289,115.659,-0.848961,159.903,3.06519,-1,13,1,412.878,-0.842966,0.0460669,164.777,0.540772,1,162.419,-0.277094,1,298.443,-1.03271,0.0,412.878,-0.842966,0.0460669,164.777,0.540772,1.43741,0.0567221,1
3101,signal,36.9922,137.929,211.459,-0.508466,239.388,-2.52857,-1,13,1,362.992,-0.631428,0.728355,161.156,0.198414,1,185.082,-0.361006,1,81.6748,-1.05273,0.0,362.992,-0.631428,0.728355,161.156,0.198414,1.00776,0.0567221,1
3102,signal,152.842,77.3475,220.799,-0.295274,230.495,-0.787993,-1,11,1,387.162,0.657895,2.45332,140.83,0.707758,1,32.3434,0.0634541,1,32.3434,0.0634541,711.729,387.162,0.657895,2.45332,140.83,0.707758,1.95905,0.0567221,1
3103,signal,210.751,45.9021,198.009,0.176556,201.103,-2.99056,1,13,1,477.883,0.901081,0.365658,121.988,0.686997,1,89.2026,-0.38441,1,89.2026,-0.38441,837.916,477.883,0.901081,0.365658,121.988,0.686997,1.50228,0.0567221,1
3104,signal,55.4239,100.663,64.7493,0.832781,88.5299,2.50431,1,11,1,309.555,1.72446,-0.0328299,177.468,0.503905,1,279.415,0.920555,3,279.415,0.920555,741.823,665.242,2.62844,2.94512,280.055,1.03687,0.62746,0.0567221,1
3105,signal,31.6313,104.366,178.606,1.2242,330.015,1.0864,1,13,1,342.103,1.00521,-1.61507,174.507,0.649771,2,86.9513,-0.547791,2,45.9691,0.442937,0.0,342.103,1.00521,-1.61507,174.507,0.649771,1.58102,0.0567221,1
3106,signal,76.5558,87.174,150.461,0.522464,171.468,-3.1147,1,11,1,411.513,0.135251,0.130426,129.751,0.277702,1,182.941,0.79709,2,182.941,0.79709,791.393,740.327,0.837056,-2.78787,210.979,0.659722,0.397206,0.0567221,1
3107,signal,83.3028,46.8257,123.425,-1.06049,199.583,2.81643,-1,11,1,419.101,-0.99778,-0.310106,145.775,0.536931,1,263.396,-0.667468,2,263.396,-0.667468,839.062,798.92,-1.84481,2.60444,228.306,1.08987,1.49527,0.0567221,1
3108,signal,58.4165,69.1177,352.156,-1.69291,989.431,2.01772,1,13,1,373.652,-0.263537,-1.28165,190.129,0.309378,1,39.1886,-1.46388,1,111.152,0.180066,0.0,373.652,-0.263537,-1.28165,190.129,0.309378,0.0,0.0567221,1
